(BTC)Open,(BTC)High,(BTC)Low,(BTC)Close,(BTC)Adj Close,(BTC)Volume,(ETH)Open,(ETH)High,(ETH)Low,(ETH)Close,(ETH)Adj Close,(ETH)Volume,(XRP)Open,(XRP)High,(XRP)Low,(XRP)Close,(XRP)Adj Close,(XRP)Volume,(LTC)Open,(LTC)High,(LTC)Low,(LTC)Close,(LTC)Adj Close,(LTC)Volume,(BCH)Open,(BCH)High,(BCH)Low,(BCH)Close,(BCH)Adj Close,(BCH)Volume,(ADA)Open,(ADA)High,(ADA)Low,(ADA)Close,(ADA)Adj Close,(ADA)Volume,(DOT)Open,(DOT)High,(DOT)Low,(DOT)Close,(DOT)Adj Close,(DOT)Volume,(BNB)Open,(BNB)High,(BNB)Low,(BNB)Close,(BNB)Adj Close,(BNB)Volume,(DOGE)Open,(DOGE)High,(DOGE)Low,(DOGE)Close,(DOGE)Adj Close,(DOGE)Volume,(XLM)Open,(XLM)High,(XLM)Low,(XLM)Close,(XLM)Adj Close,(XLM)Volume,(SOL)Open,(SOL)High,(SOL)Low,(SOL)Close,(SOL)Adj Close,(SOL)Volume,(USDT)Open,(USDT)High,(USDT)Low,(USDT)Close,(USDT)Adj Close,(USDT)Volume,(UNI)Open,(UNI)High,(UNI)Low,(UNI)Close,(UNI)Adj Close,(UNI)Volume,(LINK)Open,(LINK)High,(LINK)Low,(LINK)Close,(LINK)Adj Close,(LINK)Volume,(AVAX)Open,(AVAX)High,(AVAX)Low,(AVAX)Close,(AVAX)Adj Close,(AVAX)Volume
160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,160.56329345703125,163.59523010253906,155.06703186035156,155.5841064453125,155.5841064453125,2255652667,0.12493299692869186,0.12750600278377533,0.1206429973244667,0.12188400328159332,0.12188400328159332,731025036
155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,155.59104919433594,161.587158203125,155.5660400390625,159.07241821289062,159.07241821289062,2044591406,0.12187899649143219,0.1238429993391037,0.11757300049066544,0.11949600279331207,0.11949600279331207,710080580
159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,159.0923309326172,171.50674438476562,156.60653686523438,169.1858673095703,169.1858673095703,3617009839,0.11950100213289261,0.1260560005903244,0.11790800094604492,0.12547999620437622,0.12547999620437622,724349409
169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,169.1826171875,174.831298828125,167.55731201171875,173.89178466796875,173.89178466796875,1908476088,0.12547500431537628,0.1356460005044937,0.12448500096797943,0.13443000614643097,0.13443000614643097,1109519614
173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,173.89373779296875,184.8703155517578,171.1182098388672,184.54161071777344,184.54161071777344,3080452915,0.13443000614643097,0.1430869996547699,0.1264050006866455,0.14016899466514587,0.14016899466514587,1229665449
184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,184.54556274414062,184.79246520996094,177.04412841796875,178.97828674316406,178.97828674316406,2808509242,0.1401669979095459,0.14246900379657745,0.1362140029668808,0.13788099586963654,0.13788099586963654,1468393831
178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,178.97828674316406,180.49615478515625,170.98854064941406,172.757568359375,172.757568359375,3230351478,0.13788199424743652,0.13920199871063232,0.12848900258541107,0.13039100170135498,0.13039100170135498,963364309
172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,172.75851440429688,182.35760498046875,171.21041870117188,178.0323028564453,178.0323028564453,3112174836,0.13038599491119385,0.13462699949741364,0.1272439956665039,0.12808799743652344,0.12808799743652344,734879689
178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,178.02952575683594,179.52093505859375,165.9325408935547,171.96307373046875,171.96307373046875,4067186719,0.12808899581432343,0.12864099442958832,0.12032300233840942,0.12522099912166595,0.12522099912166595,970420635
171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,171.9625701904297,183.53836059570312,171.87789916992188,183.13671875,183.13671875,2816314095,0.12522199749946594,0.1348779946565628,0.12520000338554382,0.13431799411773682,0.13431799411773682,752603628
