Date,Open,High,Low,Close,Adj Close,Volume
2024-07-17,65091.832031,66066.734375,63896.085938,64118.792969,64118.792969,32525071311
2024-07-18,64104.738281,65104.660156,63246.164063,63974.066406,63974.066406,27239305337
2024-07-19,63972.324219,67442.640625,63329.343750,66710.156250,66710.156250,37003855410
2024-07-20,66709.921875,67610.734375,66299.617188,67163.648438,67163.648438,19029581250
2024-07-21,67164.914063,68372.906250,65842.296875,68154.523438,68154.523438,26652190004
2024-07-22,68152.976563,68480.062500,66611.296875,67585.250000,67585.250000,42649109453
2024-07-23,67584.804688,67779.015625,65484.460938,65927.671875,65927.671875,35605668666
2024-07-24,65927.859375,67113.984375,65146.996094,65372.132813,65372.132813,27470942309
2024-07-25,65375.875000,66112.421875,63473.472656,65777.226563,65777.226563,38315761670
2024-07-26,65771.812500,68207.601563,65743.765625,67912.062500,67912.062500,30488630457
2024-07-27,67911.812500,69398.507813,66705.218750,67813.335938,67813.335938,34691905492
2024-07-28,67808.656250,68301.851563,67085.828125,68255.867188,68255.867188,18043166945
2024-07-29,68259.054688,69987.539063,66532.593750,66819.914063,66819.914063,40780682628
2024-07-30,66819.054688,66987.671875,65323.191406,66201.015625,66201.015625,31380492109
2024-07-31,66201.273438,66810.210938,64532.046875,64619.250000,64619.250000,31292785994
2024-08-01,64625.839844,65593.242188,62248.941406,65357.500000,65357.500000,40975554494
2024-08-02,65353.500000,65523.222656,61184.894531,61415.066406,61415.066406,43060875727
2024-08-03,61414.808594,62148.371094,59836.527344,60680.093750,60680.093750,31753030589
2024-08-04,60676.093750,61062.988281,57210.804688,58116.976563,58116.976563,31758917219
